property,raw_r2,confound_r2,residual_r2,n_rows,n_train,n_test,model
NumRotatableBonds,0.4734212141561991,0.40888955026980167,0.20646210111550645,794403,635522,158881,linear_attention
SA-score,0.45661398388798824,0.0964312783842094,0.3886909699994129,794403,635522,158881,linear_attention
NumRotatableBonds,0.484397890803168,0.40888955026980167,0.19917582030661418,794403,635522,158881,simple_attention
SA-score,0.45700810359161925,0.0964312783842094,0.3848424915842642,794403,635522,158881,simple_attention
