target,best_epoch,elapsed_seconds,y_mean_train,y_std_train,n_train,n_val,n_test,r2_train,r2_val,r2_test,property
resid_RingCount,14,132.26081680017523,7.129146700344684e-15,0.640451619958526,635522,79440,79441,0.9009166359901428,0.8531572222709656,0.8546352386474609,RingCount
resid_BertzCT,14,171.56271660001948,-4.348822699682425e-14,123.29515388127899,635522,79440,79441,0.8951632380485535,0.8515942096710205,0.8513002991676331,BertzCT
resid_MolWt,15,88.0869507000316,4.56497226809867e-14,29.70969818835648,635522,79440,79441,0.8953394293785095,0.8430078029632568,0.8343689441680908,MolWt
resid_HeavyAtomCount,14,88.73748060013168,-4.493795233088144e-15,1.1772420015644,635522,79440,79441,0.8792864084243774,0.8323366045951843,0.8298853635787964,HeavyAtomCount
resid_NumRotatableBonds,14,98.7409645000007,2.1774166570905654e-15,1.9908904124537399,635522,79440,79441,0.7861120104789734,0.6978558301925659,0.7008336782455444,NumRotatableBonds
resid_SA-score,13,170.67820740002207,7.636253167068149e-18,0.573317044528873,635522,79440,79441,0.7505602240562439,0.671358585357666,0.6712045073509216,SA-score
