property,raw_mlp_r2_test,raw_ridge_r2_test,raw_delta_r2_mlp_minus_ridge,resid_target,resid_mlp_r2_test,resid_ridge_r2_test,resid_delta_r2_mlp_minus_ridge,max_abs_spearman,resid_minus_raw_delta_r2
BertzCT,0.9747129678726196,0.9302699658744238,0.04444300199819584,resid_BertzCT,0.8513002991676331,0.5646191174984548,0.2866811816691782,0.9041699836974086,0.24223817967098238
HeavyAtomCount,0.9904438257217407,0.9622093320530076,0.028234493668733096,resid_HeavyAtomCount,0.8298853635787964,0.3787486219858389,0.45113674159295747,0.9758552870156556,0.4229022479242244
MolWt,0.9791799783706665,0.9190326762937124,0.06014730207695407,resid_MolWt,0.8343689441680908,0.3170289157419581,0.5173400284261327,0.9454495248258004,0.4571927263491786
NumRotatableBonds,0.821024477481842,0.4820894635095832,0.33893501397225884,resid_NumRotatableBonds,0.7008336782455444,0.2007172991717444,0.5001163790738,0.507344656047942,0.16118136510154119
RingCount,0.9530274868011475,0.8494791791440223,0.1035483076571252,resid_RingCount,0.8546352386474609,0.515359799046009,0.3392754396014519,0.8814211363495316,0.2357271319443267
SA-score,0.7110077142715454,0.4670358115980684,0.24397190267347701,resid_SA-score,0.6712045073509216,0.3936040543416872,0.2776004530092344,0.32789629642862267,0.0336285503357574
