target,best_epoch,elapsed_seconds,y_mean_train,y_std_train,n_train,n_val,n_test,r2_train,r2_val,r2_test,property,ridge_r2_val,ridge_r2_test,delta_val_mlp_minus_ridge,delta_test_mlp_minus_ridge
HeavyAtomCount,11,179.22068680007942,22.431856017572954,6.8582496804325785,635522,79440,79441,0.9923232793807983,0.9907170534133911,0.9904438257217407,HeavyAtomCount,0.9624234085076716,0.9622093320530076,0.028293644905719506,0.028234493668733096
MolWt,15,145.2190624999348,325.83952784711863,96.23308501874497,635522,79440,79441,0.9851080775260925,0.9797117710113525,0.9791799783706665,MolWt,0.9184367082851828,0.9190326762937124,0.06127506272616978,0.06014730207695407
BertzCT,14,156.27396619995125,691.5794684500464,323.9056081558536,635522,79440,79441,0.981789231300354,0.9756407141685486,0.9747129678726196,BertzCT,0.9307783249144548,0.9302699658744238,0.044862389254093804,0.04444300199819584
RingCount,14,125.05627199984156,2.6328183760751003,1.2778457913343324,635522,79440,79441,0.966741681098938,0.9537147879600525,0.9530274868011475,RingCount,0.8504635991039834,0.8494791791440223,0.1032511888560691,0.1035483076571252
NumRotatableBonds,15,170.89915849990211,4.206337467467688,2.5936503475717605,635522,79440,79441,0.8768553137779236,0.8242627382278442,0.821024477481842,NumRotatableBonds,0.4879104646867747,0.4820894635095832,0.33635227354106956,0.33893501397225884
SA-score,13,101.46693070000038,2.7213451190668123,0.602865651020022,635522,79440,79441,0.7792772054672241,0.7068629264831543,0.7110077142715454,SA-score,0.4555428378444397,0.4670358115980684,0.2513200886387146,0.24397190267347701
