property,mlp_raw_r2_val,mlp_raw_r2_test,mlp_resid_r2_val,mlp_resid_r2_test,delta_test_resid_minus_raw
HeavyAtomCount,0.9907170534133911,0.9904438257217407,0.8323366045951843,0.8298853635787964,-0.16055846214294434
MolWt,0.9797117710113525,0.9791799783706665,0.8430078029632568,0.8343689441680908,-0.14481103420257568
BertzCT,0.9756407141685486,0.9747129678726196,0.8515942096710205,0.8513002991676331,-0.12341266870498657
RingCount,0.9537147879600525,0.9530274868011475,0.8531572222709656,0.8546352386474609,-0.09839224815368652
NumRotatableBonds,0.8242627382278442,0.821024477481842,0.6978558301925659,0.7008336782455444,-0.12019079923629761
SA-score,0.7068629264831543,0.7110077142715454,0.671358585357666,0.6712045073509216,-0.03980320692062378
