target,selfies_len_tokens,ring_token_count,branch_token_count,token_entropy,max_abs_confound_cos
MolWt,0.6109317225412234,0.21979080372994908,-0.27427226273690647,-0.20486489247382203,0.6109317225412234
ExactMolWt,0.6135434485564482,0.22002340040341895,-0.27369641856587323,-0.2085421898885239,0.6135434485564482
HeavyAtomCount,0.7741200998388078,0.26675031568052926,-0.3016306059047935,-0.4679481867470444,0.7741200998388078
cLogP,0.20012538702954719,0.15473576085304702,-0.3742373487197275,-0.30996864587925,0.3742373487197275
TPSA,0.14746114306398103,-0.1760090180855842,0.1842020834980667,-0.032714195930857476,0.1842020834980667
HBD,0.12494157290777175,-0.2927277929179651,0.07184445714191538,-0.2110121381061648,0.2927277929179651
HBA,0.2472001588970178,-0.058434193818694406,0.12896617933839497,-0.09739394122327613,0.2472001588970178
NumRotatableBonds,0.34440694398631827,0.028873393231655754,-0.2998278249842889,-0.49808432634860206,0.49808432634860206
RingCount,0.4503272889362946,0.46559647610930016,-0.29080116681726836,-0.17591850860553768,0.46559647610930016
AromaticRingCount,0.4236379607923869,0.13427641145684255,-0.10815024856982493,-0.25323258478681443,0.4236379607923869
FractionCSP3,0.10010933423308073,0.07428559387745276,-0.1420964042680637,-0.42497096749450497,0.42497096749450497
NumSpiroAtoms,-0.09734715078491074,0.035468652367312815,0.05272277628870902,0.02258255584550399,0.09734715078491074
NumBridgeheadAtoms,-0.2173849843315548,0.044549636454308254,-0.017709903704604832,-0.047498254990252446,0.2173849843315548
BertzCT,0.6058012603115018,0.3204960955557117,-0.15938099141597598,-0.2816584908253057,0.6058012603115018
QED,-0.2963504189450692,-0.13581237561191375,0.1861634053096863,0.6011038892772135,0.6011038892772135
