target,selfies_len_tokens,ring_token_count,branch_token_count,token_entropy,max_abs_confound_cos
resid_MolWt,0.2011967794961883,0.18726609829511065,-0.21609371427316842,-0.12011132473907817,0.21609371427316842
resid_ExactMolWt,0.2021596864211525,0.18682379224870352,-0.21479617143246268,-0.12282485656893846,0.21479617143246268
resid_HeavyAtomCount,0.09841766855124423,0.010602934766395285,-0.04009173787725958,-0.23893389206466764,0.23893389206466764
resid_cLogP,-0.11649947205607426,-0.0022293424443586094,-0.21477487833552789,0.04079167804169368,0.21477487833552789
resid_TPSA,0.09112078021852198,-0.06255672634360006,0.12322570780131654,-0.26453997800733425,0.26453997800733425
resid_HBD,0.11596656661229486,-0.238815410755919,0.057738350255039705,-0.31687910802804636,0.31687910802804636
resid_HBA,0.11773674471271661,-0.06670322512803455,0.18352698682123156,-0.25320483085447515,0.25320483085447515
resid_NumRotatableBonds,0.011846077741347993,0.030480933853578276,0.04851410565801369,-0.05626614378555723,0.05626614378555723
resid_RingCount,0.16572764262062867,-0.17002332844919113,-0.09057056067686352,-0.2672774089249774,0.2672774089249774
resid_AromaticRingCount,0.20778783172457604,-0.18949417072906824,0.12330530135649508,-0.4261252084323262,0.4261252084323262
resid_FractionCSP3,-0.07805189781832357,0.0687926012197388,-0.1252245370187498,0.19183053976868017,0.19183053976868017
resid_NumSpiroAtoms,-0.10688895870575943,-0.09757889562178614,-0.09219177397678235,0.06746744202126685,0.10688895870575943
resid_NumBridgeheadAtoms,-0.20997679979881215,-0.07874885645226924,-0.1597627693823077,-0.015333411676100445,0.20997679979881215
resid_BertzCT,0.1631732525562083,-0.027603785744140005,0.018706168047363754,-0.4223714134600216,0.4223714134600216
resid_QED,-0.09680553729280399,-0.08519361309931502,0.010919963971346428,0.3728604215397535,0.3728604215397535
