target,alpha,alpha_source,n_train,n_val,n_test,r2_train,r2_val,r2_test,w_norm
resid_MolWt,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.5844859716144302,0.5874488658253414,0.5807988824911363,829.3459601340509
resid_ExactMolWt,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.5815688866257975,0.5846072147432371,0.5778496861444555,823.1318328636398
resid_HeavyAtomCount,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.48562733510305867,0.4838060566613569,0.4857112593998103,26.98630825315886
resid_cLogP,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.6608178361539134,0.6539896877926781,0.6571886763225447,25.52813957499988
resid_TPSA,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.6339849874793164,0.6319231732448333,0.6307187808312276,558.5482519116571
resid_HBD,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.3122038493990138,0.30371613733928093,0.3100018743636459,21.181227321597795
resid_HBA,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.6342677223721352,0.6318968144355162,0.6359993116081677,33.29373344780467
resid_NumRotatableBonds,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.3008574587404569,0.2972467741436714,0.29985624348769135,41.60854534950088
resid_RingCount,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.6025836046319273,0.6024445480966416,0.6013058327139633,12.359194731178471
resid_AromaticRingCount,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.72176966438288,0.7199425174268006,0.7210168871828835,15.16270537834475
resid_FractionCSP3,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.7827277541741021,0.7816599388976007,0.7843107909318071,3.3837619263864394
resid_NumSpiroAtoms,31.622776601683796,step3_r2_Z_to_Y,635522,79440,79441,0.053476998409410004,0.0529768167530803,0.05042655955799713,1.132243981111647
resid_NumBridgeheadAtoms,10.0,step3_r2_Z_to_Y,635522,79440,79441,0.08062088989479166,0.07608939482651256,0.07806020111550549,4.824056573498529
resid_BertzCT,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.6594307215905054,0.6570990708930293,0.6563911305801979,2609.756427090024
resid_QED,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.3648304402159933,0.3667320799644477,0.36517473605378303,2.673418307566749
