target,alpha,n_train,B,cos_median,cos_mean,cos_p05,cos_p95
resid_MolWt,1.0,635522,8,0.9992277667829446,0.9992366223928032,0.9991511770652944,0.9993045900490461
resid_ExactMolWt,1.0,635522,8,0.9992250292342206,0.9992084514421522,0.9990707315973754,0.9993049417348667
resid_HeavyAtomCount,1.0,635522,8,0.9988342103009042,0.9987488100940898,0.9984256999145834,0.9990038703460171
resid_cLogP,3.1622776601683795,635522,8,0.9989662366706183,0.9990041487408553,0.9988475820337033,0.9992351910320179
resid_TPSA,1.0,635522,8,0.9991962217747709,0.9991705236084533,0.9990114674946958,0.9993018357134743
resid_HBD,3.1622776601683795,635522,8,0.9981882810496979,0.9981983904176612,0.9978784790711162,0.9985417897742004
resid_HBA,3.1622776601683795,635522,8,0.9990771226340542,0.9990704343994985,0.9987569477809244,0.9993565450544298
resid_NumRotatableBonds,3.1622776601683795,635522,8,0.9983844865614104,0.9982626789099173,0.9976855124570797,0.9987548693131703
resid_RingCount,1.0,635522,8,0.9986085084282545,0.9985880249205441,0.9983595029424377,0.9988132479788986
resid_AromaticRingCount,1.0,635522,8,0.9990992386004267,0.9990957944175288,0.9989303157343542,0.9992203433163723
resid_FractionCSP3,1.0,635522,8,0.9991876710901244,0.9991563448743379,0.9990005618840082,0.9992739331240755
resid_NumSpiroAtoms,31.622776601683796,635522,8,0.9842880146849842,0.984191531275373,0.9814146097641171,0.9866860287296564
resid_NumBridgeheadAtoms,10.0,635522,8,0.9944109054315853,0.994054070860156,0.9925673001604679,0.99546794130797
resid_BertzCT,1.0,635522,8,0.9990669284425383,0.9990039035122331,0.9988501046409943,0.9990992129573816
resid_QED,3.1622776601683795,635522,8,0.997594592069194,0.9975932186364909,0.9973524483285885,0.9978131561570402
