confound,r2_val,r2_test,alpha
selfies_len_tokens,0.9951760717349005,0.9952082291751401,1.0
branch_token_count,0.9666176984211475,0.9664787602553628,1.0
ring_token_count,0.9788592770535782,0.9785704856240919,1.0
token_entropy,0.8823666593018678,0.8849097594278594,1.0
