target_type,target,alpha,alpha_source,target_mean_train,target_std_train,n_train,n_val,n_test,r2_train,r2_val,r2_test,mae_train,mae_val,mae_test,w_norm,w_unit_norm
resid,resid_MolWt,0.0001,step4_v2_val_tuned,4.565133266701314e-14,29.70969818835648,635522,79440,79441,0.5844860159271916,0.5874520780844772,0.5807967747213009,14.47741613918496,14.520747428583858,14.518629806882146,829.9844587524009,1.0
resid,resid_ExactMolWt,0.0001,step4_v2_val_tuned,4.8737318105024093e-14,29.459185582965464,635522,79440,79441,0.5815689300529652,0.5846105278916982,0.5778474953897239,14.399460639669773,14.443603261966876,14.43918708556537,823.7711664841078,1.0
resid,resid_HeavyAtomCount,10.0,step4_v2_val_tuned,-4.493102044660094e-15,1.1772420015644,635522,79440,79441,0.48562420052406374,0.4838129370827048,0.485711735781425,0.6641368553682949,0.666038982134519,0.6631259166964523,26.801804649106003,1.0
resid,resid_cLogP,10.0,step4_v2_val_tuned,4.5951684504612145e-18,1.2732500135182814,635522,79440,79441,0.6608158560171765,0.6539910905005322,0.6571914991838752,0.5687130292993102,0.5707347029275012,0.5695235341786786,25.40443840466988,1.0
resid,resid_TPSA,10.0,step4_v2_val_tuned,2.169635057962777e-14,22.38570648358972,635522,79440,79441,0.6339803823749819,0.6319292779140382,0.630729628401187,10.544792118737611,10.515687768236557,10.557871499442081,554.1623242460339,1.0
resid,resid_HBD,31.622776601683793,step4_v2_val_tuned,-2.6850597858228434e-15,0.9403480326144811,635522,79440,79441,0.31217221231231373,0.3037297567000363,0.30994465727541665,0.6127051362847247,0.6145310155877207,0.6160932877665418,20.694995687400837,1.0
resid,resid_HBA,0.0001,step4_v2_val_tuned,-1.0014783911961381e-15,1.4176562500880951,635522,79440,79441,0.6342680513142736,0.6319011010184405,0.635996407284579,0.6691847969363767,0.6713062182953126,0.6686772367231542,33.37436832004091,1.0
resid,resid_NumRotatableBonds,0.03162277660168379,step4_v2_val_tuned,2.177819153597175e-15,1.9908904124537397,635522,79440,79441,0.30085773406586147,0.2972479416332684,0.29985926462529033,1.2779570667523295,1.282658698683781,1.2844296185625894,41.707304867791095,1.0
resid,resid_RingCount,10.0,step4_v2_val_tuned,7.128713457577153e-15,0.6404516199585262,635522,79440,79441,0.6025806788725705,0.6024473621972831,0.6013032744644836,0.30329548189722627,0.30247298544072876,0.30325068572304253,12.264600718543903,1.0
resid,resid_AromaticRingCount,0.0001,step4_v2_val_tuned,-1.906589056297239e-14,0.7589786437963784,635522,79440,79441,0.7217696859541399,0.7199431514180437,0.7210166356416896,0.3101480243588429,0.3097222651087749,0.3107473590595025,15.174996835426203,0.9999999999999999
resid,resid_FractionCSP3,3.1622776601683795,step4_v2_val_tuned,-3.703247372272544e-17,0.18094428392111117,635522,79440,79441,0.7827275357782035,0.7816598305900484,0.7843117942077705,0.06484828466099088,0.06474468052370384,0.0645485120806773,3.3779230134924285,0.9999999999999999
resid,resid_NumSpiroAtoms,31.622776601683793,step4_v2_val_tuned,7.672799290845388e-17,0.12837281901405964,635522,79440,79441,0.05347689513813092,0.052977180105297506,0.050427111767023636,0.04210059528118125,0.04155965475936065,0.04159483770427071,1.1319521410742215,1.0
resid,resid_NumBridgeheadAtoms,31.622776601683793,step4_v2_val_tuned,-2.8296398851346175e-15,0.34266797039665137,635522,79440,79441,0.08060595455865771,0.07611018743749476,0.07808200784353336,0.12585499419107196,0.12478135035254358,0.12449191607509484,4.715600443307332,1.0
resid,resid_BertzCT,0.31622776601683794,step4_v2_val_tuned,-4.35354532535998e-14,123.295153881279,635522,79440,79441,0.659430743966607,0.6570996944380787,0.6563915405337957,56.1110922966461,56.1440575866262,56.540030812187204,2611.2589348515608,1.0
resid,resid_QED,0.03162277660168379,step4_v2_val_tuned,-3.1405907974076764e-17,0.15408624799742263,635522,79440,79441,0.36483064337802096,0.36673311498061556,0.36517899190784875,0.09773477900898846,0.09769406341359338,0.09769361920112782,2.680762455269297,0.9999999999999999
