target_type,target,selfies_len_tokens,ring_token_count,branch_token_count,token_entropy,max_abs_confound_cos
resid,resid_MolWt,0.20115288458558153,0.18727526578043086,-0.21617953812662394,-0.12018813896900954,0.21617953812662394
resid,resid_ExactMolWt,0.2021490022259598,0.18685400111984032,-0.21484828269568898,-0.12289639748337572,0.21484828269568898
resid,resid_HeavyAtomCount,0.09813923242522501,0.01001597104693873,-0.04039356593355654,-0.23870955236094218,0.23870955236094218
resid,resid_cLogP,-0.11541612705224781,-0.0013786764002622354,-0.21560735080006324,0.03972328738201976,0.21560735080006324
resid,resid_TPSA,0.08985267671985583,-0.06381709574164807,0.12442127566829812,-0.26306601781610695,0.26306601781610695
resid,resid_HBD,0.11328821325425213,-0.24280604888869145,0.06013031531803639,-0.31380712028649727,0.31380712028649727
resid,resid_HBA,0.11814399966766101,-0.0663163152091729,0.18319354460141324,-0.25373443940114326,0.25373443940114326
resid,resid_NumRotatableBonds,0.011912540962643728,0.030738567667469553,0.048426610726934785,-0.056510992436874775,0.056510992436874775
resid,resid_RingCount,0.16487690537675836,-0.17063027427266148,-0.09083957564254609,-0.26789509407891154,0.26789509407891154
resid,resid_AromaticRingCount,0.20796021328277503,-0.18933418836939622,0.12323431226736276,-0.42618979605075025,0.42618979605075025
resid,resid_FractionCSP3,-0.07794221509455418,0.06888891259574642,-0.12489630251956761,0.19193778654397395,0.19193778654397395
resid,resid_NumSpiroAtoms,-0.10689803944744022,-0.09755975064170187,-0.09209255310802669,0.06750523573333067,0.10689803944744022
resid,resid_NumBridgeheadAtoms,-0.21204117300180403,-0.07862138975914043,-0.1569140262907243,-0.011770013324606872,0.21204117300180403
resid,resid_BertzCT,0.16318666888296207,-0.02752055939554518,0.018520019608387037,-0.4224156625994837,0.4224156625994837
resid,resid_QED,-0.09723843727813991,-0.08537846582359883,0.01109383922249029,0.37314638579029297,0.37314638579029297
