confound,r2_val,r2_test
selfies_len_tokens,0.9880657112815003,0.9880191278922482
branch_token_count,0.9240675247647407,0.9247557590493118
ring_token_count,0.9425696582930024,0.9416177184980816
token_entropy,0.8198243713497831,0.8220166434963871
