base_property,direction_variant,direction_space,decode_mode,seed_index,seed_band,seed_canonical_smiles,seed_raw_property,target_metric_name,confound_name,delta_step_std_effective,target_total_span_std,fixed_span_scale_vs_nominal,predicted_delta_prop_path_end,pack_size,step_count,dp_path_total_cost,greedy_medoid_total_cost,dp_beats_or_matches_medoid,target_spearman,target_slope,target_monotonic_violation_count,validity_fraction,uniqueness_fraction_valid,path_unique_canonical_count,path_constant_across_steps,path_similarity_to_seed_mean,path_similarity_to_seed_end,adjacent_step_tanimoto_mean,adjacent_step_tanimoto_median,confound_spearman,confound_slope,confound_delta_end_start,selfies_len_tokens_spearman,selfies_len_tokens_slope,selfies_len_tokens_delta_end_start,ring_token_count_spearman,ring_token_count_slope,ring_token_count_delta_end_start,branch_token_count_spearman,branch_token_count_slope,branch_token_count_delta_end_start,token_entropy_spearman,token_entropy_slope,token_entropy_delta_end_start,heavy_atom_delta_end_start,carbon_delta_end_start,heteroatom_delta_end_start,ring_delta_end_start,aromatic_ring_delta_end_start,heavy_atom_consistency_fraction,carbon_consistency_fraction,heteroatom_consistency_fraction,ring_consistency_fraction,aromatic_ring_consistency_fraction
TPSA,raw,standardized_latent,free_length,0,low,Br/C=C/CCBr,0.0,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,1842.8505009335204,0,5,103.74980063795853,103.74980063795853,1.0,,0.0,0,0.8,0.1875,3,0.0,0.4583333333333333,,0.5972886762360446,0.47368421052631576,,0.0,0.0,-0.7071067811865475,-0.16275321961439004,-6.0,,0.0,0.0,,0.0,0.0,-0.22360679774997894,-0.036067777587154085,-1.329661348854758,,,,,,,,,,
TPSA,raw,standardized_latent,fixed_length_seed_pred,0,low,Br/C=C/CCBr,0.0,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,1842.8505009335204,0,5,1.9164673046251997,1.9164673046251997,1.0,,0.0,0,1.0,0.15,3,0.0,0.4333333333333333,0.3333333333333333,0.6979665071770335,0.7368421052631579,,0.0,0.0,,-3.809329670272096e-17,0.0,,0.0,0.0,,0.0,0.0,0.7071067811865475,0.006267329739042652,0.2310490601866484,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,,,
TPSA,residual,standardized_latent,free_length,0,low,Br/C=C/CCBr,0.0,resid_TPSA,branch_token_count,7.373126029968262,29.492504119873047,166.36959889735522,1862.150504354373,0,5,2.276315789473684,2.6096491228070176,1.0,0.22360679774997894,1.7427904451057281,1,1.0,0.2,3,0.0,0.4,0.0,0.618421052631579,0.7368421052631579,,0.0,0.0,-0.7071067811865475,-0.13562768301199168,-5.0,,0.0,0.0,,0.0,0.0,-0.22360679774997894,-0.036067777587154085,-1.329661348854758,-5.0,-5.0,0.0,0.0,0.0,1.0,1.0,,,
TPSA,residual,standardized_latent,fixed_length_seed_pred,0,low,Br/C=C/CCBr,0.0,resid_TPSA,branch_token_count,7.373126029968262,29.492504119873047,166.36959889735522,1862.150504354373,0,5,2.084080940988836,2.0840809409888355,1.0,0.22360679774997894,0.11920240399230014,1,1.0,0.15,3,0.0,0.4083333333333333,0.041666666666666664,0.6638755980861244,0.7368421052631579,,0.0,0.0,-0.7071067811865475,-0.027125536602398415,-1.0,,0.0,0.0,,0.0,0.0,0.8944271909999157,0.007589089415864674,0.27977656357934255,-1.0,-2.0,1.0,0.0,0.0,1.0,1.0,1.0,,
TPSA,confound,standardized_latent,free_length,0,low,Br/C=C/CCBr,0.0,branch_token_count,branch_token_count,7.373126029968262,29.492504119873047,68.6716929665608,93.79107309955998,0,5,104.90131578947368,104.90131578947368,1.0,,0.0,0,0.8,0.1875,3,0.0,0.625,1.0,0.7368421052631579,0.7368421052631579,,0.0,0.0,-0.35355339059327373,-0.08137660980719506,0.0,,0.0,0.0,,0.0,0.0,-0.7826237921249264,-0.02743488340214105,-0.2310490601866484,0.0,0.0,0.0,0.0,0.0,,,,,
TPSA,confound,standardized_latent,fixed_length_seed_pred,0,low,Br/C=C/CCBr,0.0,branch_token_count,branch_token_count,7.373126029968262,29.492504119873047,68.6716929665608,93.79107309955998,0,5,1.5263157894736843,1.5263157894736843,1.0,,0.0,0,1.0,0.15,3,0.0,0.6,1.0,0.743421052631579,0.75,,0.0,0.0,,-3.809329670272096e-17,0.0,,0.0,0.0,,0.0,0.0,-0.7071067811865475,-0.006267329739042681,-0.2310490601866484,0.0,0.0,0.0,0.0,0.0,,,,,
TPSA,random,standardized_latent,free_length,0,low,Br/C=C/CCBr,0.0,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,,0,5,2.402651515151515,2.4026515151515153,1.0,,0.0,0,1.0,0.2,4,0.0,0.3433333333333333,0.05,0.6045454545454546,0.6590909090909091,0.0,0.0,0.0,-0.7071067811865475,-0.24412982942158512,-9.0,-0.7071067811865475,-0.054251073204796676,-2.0,0.0,0.0,0.0,-0.7071067811865475,-0.011556054732693043,-0.42602123976678485,-1.0,-2.0,1.0,0.0,0.0,0.5,1.0,1.0,,
TPSA,random,standardized_latent,fixed_length_seed_pred,0,low,Br/C=C/CCBr,0.0,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,,0,5,3.0428030303030305,3.0428030303030305,1.0,-0.7071067811865475,-0.5487496054665185,0,1.0,0.2,4,0.0,0.37666666666666665,0.05,0.4340909090909091,0.3181818181818182,0.0,0.0,0.0,-0.7071067811865475,-0.05425107320479675,-2.0,,0.0,0.0,0.0,0.0,0.0,-0.7071067811865475,-0.0046698657166232725,-0.17215754235845693,-2.0,-2.0,0.0,0.0,0.0,0.6666666666666666,1.0,,,
TPSA,raw,standardized_latent,free_length,1,mid,N#Cc1ccc(F)cc1N1CCN(Cc2cn3cc(Cl)ccc3n2)CC1,47.57000000000001,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,1842.8505009335204,0,5,1.0144885707688753,1.0144885707688753,1.0,0.8944271909999157,0.8699159588389146,0,1.0,0.15,3,0.0,0.8376818286769799,0.7377049180327869,0.797102285846225,0.8688524590163935,0.7071067811865475,0.0271255366023983,1.0,0.8944271909999157,0.29838090262638134,11.0,0.8944271909999157,0.08137660980719497,3.0,0.7071067811865475,0.0271255366023983,1.0,0.8944271909999157,0.004371549127605707,0.161159913320174,2.0,0.0,2.0,1.0,0.0,1.0,,1.0,1.0,
TPSA,raw,standardized_latent,fixed_length_seed_pred,1,mid,N#Cc1ccc(F)cc1N1CCN(Cc2cn3cc(Cl)ccc3n2)CC1,47.57000000000001,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,1842.8505009335204,0,5,0.5551415797317435,0.5551415797317436,1.0,0.8944271909999157,1.108349425573996,0,1.0,0.15,3,0.0,0.911177347242921,0.7377049180327869,0.8889716840536513,0.9090909090909092,,-3.809329670272096e-17,0.0,0.7071067811865475,0.02712553660239796,1.0,,-3.809329670272096e-17,0.0,,-3.809329670272096e-17,0.0,0.8944271909999157,0.0027073229326670875,0.09980716593188932,1.0,-1.0,2.0,0.0,0.0,1.0,1.0,1.0,,
