base_property,direction_variant,target_name,direction_space,w_raw_norm,w_std_norm,delta_prop_nominal,delta_step_std_nominal,fixed_span_scale_vs_nominal,delta_step_std_effective,expected_total_span_std,target_total_span_std,benchmark_total_span_std_ref,active_reference_step_span
TPSA,raw,TPSA,standardized_latent,548.3092041015625,124.97077178955078,7.103822631615652,0.056843872610296435,64.85418472907428,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
TPSA,residual,resid_TPSA,standardized_latent,554.1622924804688,126.27957916259766,5.59642662089743,0.044317748427807696,83.18479944867761,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
TPSA,confound,branch_token_count,standardized_latent,28.215349197387695,6.36033296585083,0.6828947201376766,0.10736776263195599,34.3358464832804,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
TPSA,random,TPSA,standardized_latent,1.0,0.6051836609840393,7.103822631615652,0.056843872610296435,64.85418472907428,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
HBA,raw,HBA,standardized_latent,32.475555419921875,7.128163814544678,0.4611059239612782,0.06468789662499248,56.98999669684436,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
HBA,residual,resid_HBA,standardized_latent,33.37437057495117,7.303279876708984,0.3544140625220238,0.04852806800575886,75.96764442686332,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
HBA,confound,selfies_len_tokens,standardized_latent,66.56986999511719,17.22076416015625,3.158237375671086,0.1833970517393364,20.101539147008047,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
HBA,random,HBA,standardized_latent,0.9999999403953552,0.5996802449226379,0.4611059239612782,0.06468789662499248,56.98999669684436,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
cLogP,raw,cLogP,standardized_latent,28.019912719726562,5.927809238433838,0.3984665656614468,0.06721986987670406,54.84335244543159,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
cLogP,residual,resid_cLogP,standardized_latent,25.404438018798828,5.422338485717773,0.31831250337957034,0.05870391607200343,62.7992689697629,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
cLogP,confound,branch_token_count,standardized_latent,28.215349197387695,6.36033296585083,0.6828947201376766,0.10736776263195599,34.3358464832804,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
cLogP,random,cLogP,standardized_latent,1.0,0.6198740005493164,0.3984665656614468,0.06721986987670406,54.84335244543159,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
FractionCSP3,raw,FractionCSP3,standardized_latent,3.596099376678467,0.7917699813842773,0.05443734659562052,0.0687539915322957,53.619621680472875,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
FractionCSP3,residual,resid_FractionCSP3,standardized_latent,3.377923011779785,0.7490497827529907,0.04523607098027777,0.0603912744143936,61.044630217399074,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
