smiles,selfies,split,selfies_len_tokens,branch_token_count,ring_token_count,token_entropy,MolWt,ExactMolWt,HeavyAtomCount,cLogP,TPSA,HBD,HBA,NumRotatableBonds,RingCount,AromaticRingCount,FractionCSP3,NumSpiroAtoms,NumBridgeheadAtoms,BertzCT,QED,is_rdkit_valid,resid_MolWt,resid_ExactMolWt,resid_HeavyAtomCount,resid_cLogP,resid_TPSA,resid_HBD,resid_HBA,resid_NumRotatableBonds,resid_RingCount,resid_AromaticRingCount,resid_FractionCSP3,resid_NumSpiroAtoms,resid_NumBridgeheadAtoms,resid_BertzCT,resid_QED,val_pos,canonical_smiles,seed_band,seed_index,seed_raw_property,seed_confound_name,seed_target_name,base_property
Br/C=C/CCBr,[Br][/C][=C][/C][C][Br],val,6.0,0.0,0.0,1.329661348854758,213.9,211.883624392,6.0,2.680000000000001,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,35.302968908806456,0.619412433894021,True,115.88778383494464,114.03750253365412,-0.5673978735960432,1.160645910272987,-12.034408067224312,-0.3799429623174174,-0.8953345982007082,-0.1087641854670367,-0.5418886588406719,-0.1145971821452065,-0.0621275071027709,-0.0143791882197143,-0.0721530995204755,77.19577919250952,-0.107531336401467,12295,Br/C=C/CCBr,low,0,0.0,branch_token_count,TPSA,TPSA
N#Cc1ccc(F)cc1N1CCN(Cc2cn3cc(Cl)ccc3n2)CC1,[N][#C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][N][C][C][N][Branch2][Ring1][C][C][C][=C][N][C][=C][Branch1][C][Cl][C][=C][C][Ring1][#Branch1][=N][Ring1][#Branch2][C][C][Ring1][P],val,41.0,6.0,5.0,2.0614680286362272,369.8310000000001,369.115651444,26.0,3.320680000000002,47.57000000000001,0.0,5.0,3.0,4.0,3.0,0.2631578947368421,0.0,0.0,955.3572609519384,0.7102320765602936,True,-0.8481840504826437,-1.0440180865045363,0.2817546484464621,-0.188887682827755,-24.08688147213131,-1.2017567636707032,0.091574097573801,-1.96522934442313,0.7589424892948111,0.440803103060063,-0.0069703979273914,-0.0067414668904972,0.00203086488111,92.4167095392262,0.0984427689194052,59242,N#Cc1ccc(F)cc1N1CCN(Cc2cn3cc(Cl)ccc3n2)CC1,mid,1,47.57000000000001,branch_token_count,TPSA,TPSA
CCOC(=O)c1c[nH]oc1=O,[C][C][O][C][=Branch1][C][=O][C][=C][NH1][O][C][Ring1][Branch1][=O],val,15.0,2.0,1.0,1.806507165261669,157.12499999999997,157.037507704,11.0,0.1446,72.30000000000001,1.0,4.0,2.0,1.0,1.0,0.3333333333333333,0.0,0.0,282.9869968096694,0.619713566034755,True,-16.599607831058535,-16.296587238636164,-0.0139436232186884,-1.3461117461560357,32.58672942083645,0.1974547438576775,1.4878090145374268,0.232618802324537,-0.2876564355678108,-0.0167946559074669,0.003910770313545,-0.0018893819331977,-0.011887569603004,43.36387868362226,-0.1237032114202952,7040,CCOC(=O)c1c[nH]oc1=O,high,2,72.30000000000001,branch_token_count,TPSA,TPSA
BrC#CCCCCCCBr,[Br][C][#C][C][C][C][C][C][C][Br],val,10.0,0.0,0.0,0.8018185525433372,267.992,265.930574584,10.0,3.6876000000000015,0.0,0.0,0.0,5.0,0.0,0.0,0.75,0.0,0.0,102.94205536176514,0.4049904728518634,True,142.75370103456876,140.65758607170105,0.0705725904787719,0.8607412553770901,2.349490661660951,-0.1049027347649006,-0.229607392405303,-0.1160885083819458,-0.3380093720765469,0.3749976913156612,-0.1180835078271167,-0.0261184020146799,-0.1104692619607366,168.42539440785094,-0.2074589514249195,1513,BrC#CCCCCCCBr,low,3,0.0,branch_token_count,TPSA,TPSA
C#CC(C)Cl,[C][#C][C][Branch1][C][C][Cl],val,7.0,1.0,0.0,1.15374194270109,88.537,88.00797784,5.0,1.2469,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,45.548875021634686,0.3088478348654886,True,-4.375742614823622,-4.825373143704837,-1.555447986691698,-0.5384667386684201,-4.594298390046205,-0.2361699076710075,-0.3886980376964741,-2.3597743397761697,-0.3411830440731047,0.2619631547918066,-0.1901954560034031,-0.0292588945662209,-0.1307283154910587,142.3281032202592,-0.4005082340568013,9420,C#CC(C)Cl,low,0,5.0,selfies_len_tokens,HeavyAtomCount,HeavyAtomCount
BrCC1CCc2cc(OCc3ccccc3)ccc2O1,[Br][C][C][C][C][C][=C][C][Branch1][O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][C][=C][Ring1][=C][O][Ring2][Ring1][C],val,29.0,2.0,4.0,1.642057051612272,333.225,332.041191884,20.0,4.354100000000003,18.46,0.0,2.0,4.0,3.0,2.0,0.2941176470588235,0.0,0.0,553.5059230541015,0.7745088154894652,True,46.44012559015039,45.58313433339504,-0.7142488479051536,0.976063249511192,-26.37162684059644,-0.8268001724387133,-1.5101073693636278,-1.4178378578139696,0.3419543013763642,0.0508486997804129,-0.125680722344663,-0.0044076212722812,-0.001790511450907,-40.96497563368882,0.1749370567136894,49725,BrCC1CCc2cc(OCc3ccccc3)ccc2O1,mid,1,20.0,selfies_len_tokens,HeavyAtomCount,HeavyAtomCount
BrCCCCCCOC(c1ccccc1)(c1ccccc1)c1ccccc1,[Br][C][C][C][C][C][C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],val,37.0,7.0,3.0,1.6244124205871726,423.39400000000006,422.124527584,27.0,6.950400000000007,9.23,0.0,1.0,10.0,3.0,3.0,0.28,0.0,0.0,662.2442523831488,0.1947828083591908,True,98.2347830356299,97.31355536275989,4.240586192349056,3.346071059497064,-44.3022312130045,-0.8894080239334089,-2.468563248465937,4.603190660371053,0.9575321491385074,1.6942313256849642,-0.2716992790902366,-0.0242326361256949,-0.0716405672517055,67.91739100356733,-0.3993587801729475,17980,BrCCCCCCOC(c1ccccc1)(c1ccccc1)c1ccccc1,high,2,27.0,selfies_len_tokens,HeavyAtomCount,HeavyAtomCount
C#CC(C)N,[C][#C][C][Branch1][C][C][N],val,7.0,1.0,0.0,1.15374194270109,69.10700000000001,69.057849224,5.0,-0.0332,26.02,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,45.548875021634686,0.3969353159646799,True,-23.80574261482361,-23.77550175970484,-1.555447986691698,-1.8185667386684203,21.425701609953794,0.7638300923289925,0.6113019623035258,-2.3597743397761697,-0.3411830440731047,0.2619631547918066,-0.1901954560034031,-0.0292588945662209,-0.1307283154910587,142.3281032202592,-0.31242075295761,72452,C#CC(C)N,low,3,5.0,selfies_len_tokens,HeavyAtomCount,HeavyAtomCount
