target,selfies_len_tokens,ring_token_count,branch_token_count,token_entropy,max_abs_confound_cos
resid_MolWt,0.11688615558701478,0.22918315157281596,-0.24917762498193732,0.5436358444209164,0.5436358444209164
resid_ExactMolWt,0.11657699250575311,0.2288502078948944,-0.24921807792618839,0.543711532217155,0.543711532217155
resid_HeavyAtomCount,-0.04593292243098375,-0.11491289290037038,0.015847488210973735,-0.008984247292373206,0.11491289290037038
resid_cLogP,0.09371761069670144,0.05421897690038873,0.05534741743443951,0.09217904763851963,0.09371761069670144
resid_TPSA,-0.09066022581078242,-0.11114069553379363,0.007710858573589804,-0.08807547858615677,0.11114069553379363
resid_HBD,-0.14646654226875122,-0.21791128794502293,0.1303626289952071,-0.3345830887782475,0.3345830887782475
resid_HBA,-0.06350997234313067,-0.07417852883490329,-0.07710852256450271,0.10237324471685146,0.10237324471685146
resid_NumRotatableBonds,-0.16464309986645403,-0.2738153566089391,0.23845343528812876,-0.4291441371378124,0.4291441371378124
resid_RingCount,0.10029846371404642,0.07986400893792674,-0.08573703919597178,0.22074389667753266,0.22074389667753266
resid_AromaticRingCount,-0.07657720373200562,-0.26319000349635147,0.3142845385427907,-0.45622985423271356,0.45622985423271356
resid_FractionCSP3,0.04768140976551618,0.23338060941231473,-0.3143977732749882,0.46844395143817863,0.46844395143817863
resid_NumSpiroAtoms,0.14694944574159294,0.2561392933369526,-0.2703236853967505,0.4963137248435948,0.4963137248435948
resid_NumBridgeheadAtoms,0.1469326017813878,0.2695821553028939,-0.2637564026022406,0.5014685401696051,0.5014685401696051
resid_BertzCT,-0.007464842170850205,-0.18630214118517108,0.2587708888247468,-0.26751436422098773,0.26751436422098773
resid_QED,0.07351096119589179,0.1733749144290699,-0.20496865801978736,0.11221735466741785,0.20496865801978736
